log_id,user_id,request_id,log_type,remarks,created_at,updated_at,deleted_at
48ddf440-c21a-47c7-a8e4-28a6408c2fb4,71081258-8ac7-468c-bf12-1485f6818b1b,572973f1-c595-4550-ad3a-7b6e5a8fee40,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
535a8fd4-8ead-4549-a62d-5138224e270d,ece7add0-12a7-4170-98c1-61f441cbb95a,572973f1-c595-4550-ad3a-7b6e5a8fee40,Admin Approves Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
019ae0e8-de6f-4da8-8be4-f33bdf683f1b,71081258-8ac7-468c-bf12-1485f6818b1b,572973f1-c595-4550-ad3a-7b6e5a8fee40,User Uploads Files,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
8ce62fd8-5099-446a-b95b-0d6058da336c,71081258-8ac7-468c-bf12-1485f6818b1b,572973f1-c595-4550-ad3a-7b6e5a8fee40,User Cancels Request,Event to be rescheduled,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
b376081b-12ed-4d92-aa51-5674ad1f41f4,ba8b68d3-b894-44fe-8749-894bf246c304,5d312f10-a075-4bda-bd42-eacb6c814167,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
6e725e84-65f0-4eb4-a5d5-5e5d6a539020,ece7add0-12a7-4170-98c1-61f441cbb95a,5d312f10-a075-4bda-bd42-eacb6c814167,Admin Approves Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
a4806c4c-1f92-4306-a2c3-89992c045b70,ba8b68d3-b894-44fe-8749-894bf246c304,5d312f10-a075-4bda-bd42-eacb6c814167,User Cancels Request,Event venue moved elsewhere,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
13539797-f4df-48fd-b40c-4b472523a739,ff606b98-ebb2-4a9d-9a0d-5f18f8e7b3f3,72491632-5b91-4140-bb6f-f222a18f7d86,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
7c1ff19b-09aa-4606-889a-54b892cb3750,ece7add0-12a7-4170-98c1-61f441cbb95a,72491632-5b91-4140-bb6f-f222a18f7d86,Admin Disapproves Request,Room under maintenance,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
b6866329-1937-45b7-ba01-26cc57c51938,9c9ff7a6-e93f-48fd-9a41-9d394b1fae2f,c441e76b-8a41-4217-81ee-d7c629c7c758,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
50c43d21-186c-4033-94a3-33de31d7e708,a61ccb1f-f009-49f7-8b4f-67a2e7441fb8,a3976b95-fef8-45cc-857b-bfbec3d14335,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
77a572cb-bcb4-440b-b3f3-a2c7e1a51257,5b376a13-8dd0-44b4-8d76-c7163f1fd26b,4c177a45-e130-49ac-89c2-5f76fbaeb67f,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
d19821d2-d5c8-44ae-918b-e090f8aa1293,71081258-8ac7-468c-bf12-1485f6818b1b,b47ef35b-c524-4e2c-91ac-5eb2afb6d9c0,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
f89020a0-10ca-41da-894b-725ff76aba70,ece7add0-12a7-4170-98c1-61f441cbb95a,b47ef35b-c524-4e2c-91ac-5eb2afb6d9c0,Admin Approves Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
2c480a31-8249-48db-87bc-5b2d5ae356bf,2ac1cd05-a056-4702-84a8-bf2b058c410f,3bf96041-8d5d-4290-95da-21d578431114,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
7eca7dd1-5d1d-474a-a258-fc6ff0e31e58,ece7add0-12a7-4170-98c1-61f441cbb95a,3bf96041-8d5d-4290-95da-21d578431114,Admin Approves Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
072aaea1-3b16-48f9-b8ab-9b3cb89bfe15,16f9a277-99ed-4b95-ad5c-8558ef02f239,ce6a0542-78d2-4023-afcb-a532e7172acd,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
594295f9-058c-459f-ab73-5363256922c1,ece7add0-12a7-4170-98c1-61f441cbb95a,ce6a0542-78d2-4023-afcb-a532e7172acd,Admin Approves Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
44b9ee5a-f744-4598-a294-e301128340ed,16f9a277-99ed-4b95-ad5c-8558ef02f239,ce6a0542-78d2-4023-afcb-a532e7172acd,User Uploads Files,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
cc166b0b-5c6a-49ab-b794-1fe6ce9add7b,ece7add0-12a7-4170-98c1-61f441cbb95a,ce6a0542-78d2-4023-afcb-a532e7172acd,Admin Finalizes Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
a5f82fa0-df61-4135-a8a7-e51e3bb4ee7b,ff606b98-ebb2-4a9d-9a0d-5f18f8e7b3f3,ecdcf5b5-a2e4-4d7d-8438-b5681e28934f,User Creates Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
f0850f28-ac3a-46cf-a9a0-f0acd1752e17,ece7add0-12a7-4170-98c1-61f441cbb95a,ecdcf5b5-a2e4-4d7d-8438-b5681e28934f,Admin Approves Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
07ee5e50-bdda-4d86-b5ea-f34e0ed564fd,ff606b98-ebb2-4a9d-9a0d-5f18f8e7b3f3,ecdcf5b5-a2e4-4d7d-8438-b5681e28934f,User Uploads Files,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
5c9c46d5-edc6-4276-b045-5c4ed67adba4,ece7add0-12a7-4170-98c1-61f441cbb95a,ecdcf5b5-a2e4-4d7d-8438-b5681e28934f,Admin Finalizes Request,N/A,2024-04-14 13:29:23.05573+08,2024-04-14 13:29:23.05573+08,
